timestamp,task,len
29067,Cleanup,0
29390,Clipboard event,0
29390,Calculate main window shift,76
29390,Extract data,1
29390,Collect Garbage,0
29390,Send pictures,0
29390,Cleanup,0
30251,Clipboard event,0
30251,Calculate main window shift,10
30251,Extract data,0
30251,Collect Garbage,0
30251,Send pictures,0
30251,Cleanup,0
30283,Clipboard event,0
30283,Calculate main window shift,19
30283,Extract data,1
30283,Collect Garbage,0
30283,Send pictures,3
30283,Cleanup,1
30710,Clipboard event,0
30710,Calculate main window shift,1
30710,Extract data,3
30710,Collect Garbage,4
30710,Send pictures,2
30710,Cleanup,0
30805,Clipboard event,0
30805,Calculate main window shift,21
30805,Extract data,1
30805,Collect Garbage,0
30805,Send pictures,1
30805,Cleanup,0
30891,Clipboard event,0
30891,Calculate main window shift,20
30891,Extract data,2
30891,Collect Garbage,0
30891,Send pictures,1
30891,Cleanup,0
30940,Clipboard event,0
30940,Calculate main window shift,22
30940,Extract data,1
30940,Collect Garbage,0
30940,Send pictures,2
30940,Cleanup,0
31111,Clipboard event,0
31111,Calculate main window shift,10
31111,Extract data,2
31111,Collect Garbage,0
31111,Send pictures,1
31111,Cleanup,0
31200,Clipboard event,0
31200,Calculate main window shift,8
31200,Extract data,1
31200,Collect Garbage,0
31200,Send pictures,1
31200,Cleanup,1
31865,Clipboard event,0
31865,Calculate main window shift,2
31865,Extract data,6
31865,Collect Garbage,0
31865,Send pictures,1
31865,Cleanup,0
32294,Clipboard event,0
32294,Calculate main window shift,8
32294,Extract data,1
32294,Collect Garbage,0
32294,Send pictures,1
32294,Cleanup,0
32335,Clipboard event,0
32335,Calculate main window shift,5
32335,Extract data,3
32335,Collect Garbage,0
32335,Send pictures,2
32335,Cleanup,0
33215,Clipboard event,0
33215,Calculate main window shift,8
33215,Extract data,0
33215,Collect Garbage,0
33215,Send pictures,2
33215,Cleanup,0
33882,Clipboard event,0
33882,Calculate main window shift,7
33882,Extract data,1
33882,Collect Garbage,0
33882,Send pictures,1
33882,Cleanup,0
33943,Clipboard event,0
33943,Calculate main window shift,8
33943,Extract data,0
33943,Collect Garbage,0
33943,Send pictures,1
33943,Cleanup,0
34294,Clipboard event,0
34294,Calculate main window shift,8
34294,Extract data,1
34294,Collect Garbage,0
34294,Send pictures,1
34294,Cleanup,0
34336,Clipboard event,0
34336,Calculate main window shift,10
34336,Extract data,0
34336,Collect Garbage,0
34336,Send pictures,1
34336,Cleanup,1
34589,Clipboard event,0
34589,Calculate main window shift,9
34589,Extract data,1
34589,Collect Garbage,0
34589,Send pictures,2
34589,Cleanup,0
38699,Clipboard event,0
38699,Calculate main window shift,12
38699,Extract data,0
38699,Collect Garbage,0
38699,Send pictures,1
38699,Cleanup,0
38776,Clipboard event,0
38776,Calculate main window shift,8
38776,Extract data,0
38776,Collect Garbage,0
38776,Send pictures,1
38776,Cleanup,0
39186,Clipboard event,0
39186,Calculate main window shift,15
39186,Extract data,0
39186,Collect Garbage,0
39186,Send pictures,0
39186,Cleanup,0
46162,Clipboard event,0
46162,Calculate main window shift,1
46162,Extract data,0
46162,Collect Garbage,0
46162,Send pictures,21
46162,Cleanup,0
48522,Clipboard event,1
48522,Calculate main window shift,9
48522,Extract data,0
48522,Collect Garbage,0
48522,Send pictures,1
48522,Cleanup,0
48962,Clipboard event,0
48962,Calculate main window shift,8
48962,Extract data,1
48962,Collect Garbage,0
48962,Send pictures,1
48962,Cleanup,0
49274,Clipboard event,0
49274,Calculate main window shift,25
49274,Extract data,0
49274,Collect Garbage,0
49274,Send pictures,0
49274,Cleanup,0
51427,Clipboard event,0
51427,Calculate main window shift,13
51427,Extract data,0
51427,Collect Garbage,0
51427,Send pictures,0
51427,Cleanup,0
53525,Clipboard event,0
53525,Calculate main window shift,10
53525,Extract data,0
53525,Collect Garbage,1
53525,Send pictures,0
53525,Cleanup,0
54587,Clipboard event,0
54587,Calculate main window shift,11
54587,Extract data,0
54587,Collect Garbage,0
54587,Send pictures,0
54587,Cleanup,0
54629,Clipboard event,0
54629,Calculate main window shift,28
54629,Extract data,0
54629,Collect Garbage,0
54629,Send pictures,0
54629,Cleanup,0
54851,Clipboard event,0
54851,Calculate main window shift,15
54851,Extract data,0
54851,Collect Garbage,0
54851,Send pictures,0
54851,Cleanup,0
58165,Clipboard event,0
58165,Calculate main window shift,12
58165,Extract data,1
58165,Collect Garbage,0
58165,Send pictures,1
58165,Cleanup,0
58200,Clipboard event,0
58200,Calculate main window shift,8
58200,Extract data,0
58200,Collect Garbage,0
58200,Send pictures,2
58200,Cleanup,0
